a blacksmith shop	ᎦᏅᏆᎶᏍᎩᎢ	[ganv:gwa:lò:sgi̋:ʔi]  (single noun) /ced/
arguing	ᎭᏘᏲᎦ	[hatiyǒ:ga]  (he is) (2nd/immediate) /ced/
arguing	ᎤᏘᏲᏍᏗ	[u:tiyǒ:sdi]  (he is) (3rd/deverbal) /ced/
argument	ᎠᏘᏲᏍᏗ	[atiyǒ:sdi]  (single noun) /ced/
argument	ᏗᏘᏲᏍᏗ	[di:tiyǒ:sdi]  (plural noun) /ced/
arm	ᎧᏃᎨ	[kano:ge]  (single noun) /ced/
arm	ᏗᎧᏃᎨ	[dikano:ge]  (plural noun) /ced/
arm	ᎧᏃᎨᏂ	[kano:ge̋:ni]  (his) (single noun) /ced/
arm	ᏗᎧᏃᎨᏂ	[dikano:ge̋:ni]  (his) (plural noun) /ced/
arresting him	ᏥᏂᏱᎭ	[jí:ni:yíha] (an.)  (he is) (1st/present continuous) /ced/
arresting him	ᏥᏂᏱᎭ	[jíʔni:yíha] (in.)  (he is) (1st/present continuous) /ced/
arresting him	ᎯᏂᏯ	[hi:nǐ:ya] (in.)  (he is) (2nd/immediate) /ced/
arresting him	ᎯᏂᏯ	[hiʔnǐ:ya] (an.)  (he is) (2nd/immediate) /ced/
arresting him	ᎦᏂᏱᎭ	[gáʔni:yíha]  (he is) (3rd/present continuous) /ced/
arresting him	ᎤᏂᏴᎲᎢ	[ù:ní:yv:hv̌:ʔi]  (he is) (3rd/remote past) /ced/
arresting him	ᎦᏂᏱᏍᎪᎢ	[gáʔni:yǐ:sgóʔi]  (he is) (3rd/habitual) /ced/
arresting him	ᎤᏂᏱᏗ	[u:nǐyhdi]  (he is) (3rd/deverbal) /ced/
arriving	ᎦᎷᎦ	[gáʔluhga]  (he is) (3rd/present continuous) /ced/
arriving	ᏥᎷᎦ	[jíʔluhga]  (he is) (1st/present continuous) /ced/
arriving	ᎤᎷᏨᎢ	[ù:lúhjv̌:ʔi]  (he is) (3rd/remote past) /ced/
arriving	ᎦᎷᎪᎢ	[gáʔluhgó:ʔi]  (he is) (3rd/habitual) /ced/
arriving	ᎯᎷᎩ	[hiʔluhgi]  (he is) (2nd/immediate) /ced/
arriving	ᎤᎷᎯᏍᏗ	[u:lúhísdi]  (he is) (3rd/deverbal) /ced/
arrow	ᎦᏟᏓ	[gá:hlida]  (single noun) /ced/
arrow	ᏗᎦᏟᏓ	[digá:hlida]  (plural noun) /ced/
as quickly as possible	ᏄᏟᏍᏛᎢ	[nù:hlǐ:sdv̋:ʔi] (adj/adv) /ced/
ascending	ᎠᎵᏌᎳᏗᎠ	[àlsaladíʔa]  (he or it is) (3rd/present continuous) /ced/
ascending	ᎦᎵᏌᎳᏗᎠ	[galì:saladíʔa]  (he or it is) (1st/present continuous) /ced/
ascending	ᎤᎵᏌᎳᏓᏅᎢ	[ùlsaladâ:nv̌:ʔi]  (he or it is) (3rd/remote past) /ced/
ascending	ᎠᎵᏌᎳᏗᏍᎪᎢ	[àlsaladî:sgó:ʔi]  (he or it is) (3rd/habitual) /ced/
ascending	ᎭᎵᏌᎳᏛᎦ	[halsaladv̀:ga]  (he or it is) (2nd/immediate) /ced/
ascending	ᎤᎵᏌᎳᏙᏗ	[ulsaladò:di]  (he or it is) (3rd/deverbal) /ced/
ascending an incline	ᎧᎾᎷᏍᎦ	[kanalu:sga]  (he is) (3rd/present continuous) /ced/
ascending an incline	ᏥᎾᎷᏍᎦ	[jì:nalu:sga]  (he is) (1st/present continuous) /ced/
ascending an incline	ᎤᎿᎷᏒᎢ	[ù:hnalu:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
ascending an incline	ᎧᎾᎷᏍᎪᎢ	[kana:lu:sgó:ʔi]  (he is) (3rd/habitual) /ced/
ascending an incline	ᎯᎿᎷᎯ	[hihnalǔ:hi]  (he is) (2nd/immediate) /ced/
ascending an incline	ᎤᎿᎷᎯᏍᏗ	[u:hnalu:hisdi]  (he is) (3rd/deverbal) /ced/
ashes	ᎪᏍᏚ	[kò:sdu]  (single noun) /ced/
asking a question	ᏥᏯᏛᏛᎲᏍᎦ	[ji:yà:tv̌:dv́:hv:sga] (an.)  (he is) (1st/present continuous) /ced/
asking a question	ᎦᏛᏛᎲᏍᎦ	[gà:tv̌:dv́:hvsga] (in.)  (he is) (1st/present continuous) /ced/
asking a question	ᎯᏯᏛᏛᎲᎦ	[hi:yà:tv:dv:hv̀:ga] (in.)  (he is) (2nd/immediate) /ced/
asking a question	ᎭᏛᏛᎲᎦ	[hatv:dv:hv̀:ʔga] (an.)  (he is) (2nd/immediate) /ced/
asking a question	ᎠᏛᏛᎲᏍᎦ	[à:tv̌:dv́:hvsga]  (he is) (3rd/present continuous) /ced/
asking a question	ᎤᏛᏛᏅᎢ	[ù:tv̌:dv́:hnv̌:ʔi]  (he is) (3rd/remote past) /ced/
asking a question	ᎠᏛᏛᎲᏍᎪᎢ	[à:tv̌:dv́:hvsgó:ʔi]  (he is) (3rd/habitual) /ced/
asking a question	ᎤᏛᏘᏗ	[u:tv̌:tdi]  (he is) (3rd/deverbal) /ced/
asking for it	ᎠᏔᏲᎯᎭ	[à:tayo:híha]  (he is) (3rd/present continuous) /ced/
asking for it	ᏥᏔᏲᎯᎭ	[jì:tayo:híha]  (he is) (1st/present continuous) /ced/
asking for it	ᎤᏔᏲᏢᎢ	[ù:tayo:hlv̌:ʔi]  (he is) (3rd/remote past) /ced/
asking for it	ᎠᏔᏲᎯᎰᎢ	[à:tayo:hi:hó:ʔi]  (he is) (3rd/habitual) /ced/
asking for it	ᎯᏔᏲᎭ	[hitayǒ:ha]  (he is) (2nd/immediate) /ced/
asking for it	ᎤᏔᏲᏍᏗ	[u:tayo:sdi]  (he is) (3rd/deverbal) /ced/
asking him a question.	ᏥᏯᏛᏛᎲᏍᎦ	[ji:yà:tv̌:dv́:hv:sga] (an.)  (he is) (1st/present continuous) /ced/
asking him a question.	ᎦᏛᏛᎲᏍᎦ	[gà:tv̌:dv́:hvsga] (in.)  (he is) (1st/present continuous) /ced/
asking him a question.	ᎯᏯᏛᏛᎲᎦ	[hi:yà:tv:dv:hv̀:ga] (in.)  (he is) (2nd/immediate) /ced/
asking him a question.	ᎭᏛᏛᎲᎦ	[hatv:dv:hv̀:ʔga] (an.)  (he is) (2nd/immediate) /ced/
asking him a question.	ᎠᏛᏛᎲᏍᎦ	[à:tv̌:dv́:hvsga]  (he is) (3rd/present continuous) /ced/
asking him a question.	ᎤᏛᏛᏅᎢ	[ù:tv̌:dv́:hnv̌:ʔi]  (he is) (3rd/remote past) /ced/
asking him a question.	ᎠᏛᏛᎲᏍᎪᎢ	[à:tv̌:dv́:hvsgó:ʔi]  (he is) (3rd/habitual) /ced/
asking him a question.	ᎤᏛᏘᏗ	[u:tv̌:tdi]  (he is) (3rd/deverbal) /ced/
asleep	ᎠᏂᏟᎾ	[à:ni:hlína]  (they are) (two or more) (3rd/present continuous) /ced/
asleep	ᎣᏥᏟᎾ	[ò:ji:hlína]  (they are) (two or more) (1st/present continuous) /ced/
asleep	ᎠᏂᏟᏃᎢ	[à:ni:hlínó:ʔi]  (they are) (two or more) (3rd/habitual) /ced/
assistance	ᎠᎵᏍᏕᎸᏙᏗ	[alsděhldohdi]  (financial) (single noun) /ced/
at home	ᎤᏬᏝ	[ù:wǒ:hla]  (he is) (3rd/present continuous) /ced/
at home	ᎠᏉᏝ	[à:gwǒ:hla]  (he is) (1st/present continuous) /ced/
at home	ᎤᏬᏢᎢ	[ù:wǒ:hlv́:ʔi]  (he is) (3rd/remote past) /ced/
at home	ᎤᏬᏠᎢ	[ù:wǒ:hlóʔi]  (he is) (3rd/habitual) /ced/
at home	ᏦᏞᏍᏗ	[jǒ:hlê:sdi]  (he is) (2nd/future progressive) /ced/
at home	ᏗᏓᏁᎸᎢ	[di:dá:ne:lv̋:ʔi] (adj/adv) /ced/
at midnight	ᏒᏃᏱ	[sv:nǒ:yi] (adj/adv) /ced/
attaching it	ᎦᏌᏁᎾᏛᏍᎦ	[gá:saně:nádvsga]  (he is) (flexible), behind it (3rd/present continuous) /ced/
attaching it	ᏥᏌᏁᎾᏛᏍᎦ	[jí:saně:nádvsga]  (he is) (flexible), behind it (1st/present continuous) /ced/
attaching it	ᎤᏩᏌᏁᎾᏛᏅᎢ	[ù:wá:saně:ná:dv̀:nv̌:ʔi]  (he is) (flexible), behind it (3rd/remote past) /ced/
attaching it	ᎦᏌᏁᎾᏛᏍᎪᎢ	[gá:saně:nádv:sgó:ʔi]  (he is) (flexible), behind it (3rd/habitual) /ced/
attaching it	ᎯᏌᏁᎾᏛᎦ	[hì:sane:nadv̀:ga]  (he is) (flexible), behind it (2nd/immediate) /ced/
attaching it	ᎤᏩᏌᏁᎾᏛᏗ	[uwà:saně:nádv̀:di]  (he is) (flexible), behind it (3rd/deverbal) /ced/
attacking him or it	ᏕᏥᎦᏘᎴᎦ	[de:jí:gà:tǐ:lê:ga] (an.)  (he is) (1st/present continuous) /ced/
attacking him or it	ᏕᏥᎦᏘᎴᎦ	[de:jígà:tǐ:lê:ga] (in.)  (he is) (1st/present continuous) /ced/
attacking him or it	ᏘᎦᏘᎷᎦ	[ti:gâ:tǐ:lû:ga] (in.)  (he is) (2nd/immediate) /ced/
attacking him or it	ᏘᎦᏘᎷᎦ	[tíkti:lù:ga] (an.)  (he is) (2nd/immediate) /ced/
attacking him or it	ᏓᎦᏘᎴᎦ	[dà:ktǐ:lê:ga]  (he is) (3rd/present continuous) /ced/
attacking him or it	ᏚᎦᏘᎸᏒᎢ	[dù:ktǐ:lv̂:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
attacking him or it	ᏓᎦᏘᎴᎪᎢ	[dà:ktǐ:lê:gó:ʔi]  (he is) (3rd/habitual) /ced/
attacking him or it	ᏧᎦᏘᎸᏍᏗ	[ju:ktǐ:lv̂:sdi]  (he is) (3rd/deverbal) /ced/
attempting it	ᎠᏁᏟᏗᎭ	[á:nehldíha]  (he is) (3rd/present continuous) /ced/
attempting it	ᎦᏁᏟᏗᎭ	[gá:nehldíha]  (he is) (1st/present continuous) /ced/
attempting it	ᎤᏁᏟᏔᏅᎢ	[ú:nehltánv́:ʔi]  (he is) (3rd/remote past) /ced/
attempting it	ᎠᏁᏟᏗᏍᎪᎢ	[á:nehldǐ:sgóʔi]  (he is) (3rd/habitual) /ced/
attempting it	ᎭᏁᏟᏓ	[hà:nehlda]  (he is) (2nd/immediate) /ced/
attempting it	ᎤᏁᏟᏙᏗ	[ù:něhldohdi]  (he is) (3rd/deverbal) /ced/
August	ᎦᎶᏂ	[Gaʔlo:hni]  (single noun) /ced/
aunt	ᎤᏠᎩ	[u:hlogi]  (his or her) (single noun) /ced/
aunt	ᏧᏠᎩ	[ju:hlogi]  (his or her) (plural noun) /ced/
away from	ᎤᏟ	[udli] (adj/adv) /ced/
axe	ᎦᎷᏯᏍᏗ	[galùysdi]  (single noun) /ced/
axe	ᏗᎦᎷᏯᏍᏗ	[digalùysdi]  (plural noun) /ced/
baby	ᎤᏍᏗ	[u:sdi̋]  (single noun) /ced/
baby	ᏧᎾᏍᏗ	[junsdi]  (plural noun) /ced/
back	ᎦᏐᎯᎢ	[ga:sohi̋:ʔi]  (his) (single noun) /ced/
backing up	ᎠᏏᏁᎦ	[á:si:né:ga]  (he is) (3rd/present continuous) /ced/
backing up	ᎦᏏᏁᎦ	[gá:si:né:ga]  (he is) (1st/present continuous) /ced/
backing up	ᎤᏏᏅᏒᎢ	[ú:si:nv́:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
backing up	ᎠᏏᏁᎪᎢ	[á:si:né:gó:ʔi]  (he is) (3rd/habitual) /ced/
backing up	ᎭᏏᏄᎦ	[hà:si:nù:ga]  (he is) (2nd/immediate) /ced/
backing up	ᎤᏏᏅᏍᏗ	[ù:sǐ:nv̂:sdi]  (he is) (3rd/deverbal) /ced/
backwards	ᎠᏏᏂ	[à:si:ni] (adj/adv) /ced/
bad	ᎤᏂᏲᎢ	[u:ni:yő:ʔi]  (plural adj/adv) /ced/
bad	ᏧᏲᎢ	[ju:yő:ʔi]  (plural adj/adv) /ced/
bad	ᎤᏲᎢ	[u:yő:ʔi] (adj/adv) /ced/
bad omen	ᎤᏓᎴᎯ	[u:daleʔhi]  (single noun) /ced/
badge	ᎠᎧᏁᏍᏗ	[akaně:sdi]  (single noun) /ced/
badge	ᏗᎧᏁᏍᏗ	[di:kaně:sdi]  (plural noun) /ced/
baking it	ᎦᏚᎲᏍᎦ	[gá:du:hv́sga]  (he is) (3rd/present continuous) /ced/
baking it	ᏥᏚᎲᏍᎦ	[jí:du:hv́sga]  (he is) (1st/present continuous) /ced/
baking it	ᎤᏩᏚᏅᎢ	[ù:wá:du:hnv̌:ʔi]  (he is) (3rd/remote past) /ced/
baking it	ᎦᏚᎲᏍᎪᎢ	[gá:du:hvsgó:ʔi]  (he is) (3rd/habitual) /ced/
baking it	ᎯᏚᎲᎦ	[hì:du:hv̀:ga]  (he is) (2nd/immediate) /ced/
baking it	ᎤᏩᏘᏗ	[u:wà:tdi]  (he is) (3rd/deverbal) /ced/
ball	ᏗᏍᏆᏞᏍᏗ	[di:sgwà:hle̋:sdi]  (plural noun) /ced/
ball	ᏗᏍᏆᏞᏍᏗ	[dì:sgwà:tle̋:sdi]  (plural noun) /ced/
ball	ᏍᏆᏞᏍᏗ	[sgwà:hle̋:sdi]  (single noun) /ced/
ball	ᏍᏆᏞᏍᏗ	[sgwà:tle̋:sdi]  (single noun) /ced/
ball field	ᎤᎾᎳᏍᎦᎵᏗᎢ	[u:nalà:sgáhldi̋:ʔi]  (single noun) /ced/
ball field	ᏧᎾᎳᏍᎦᎸᏗᎢ	[ju:na:là:sgáhldi̋:ʔi]  (plural noun) /ced/
ball player	ᎠᎳᏍᎦᎵᏍᎩ	[alà:sgali̋:sgi]  (single noun) /ced/
ball player	ᎠᎾᎳᏍᎦᎵᏍᎩ	[analà:sgali̋:sgi]  (plural noun) /ced/
bank	ᎠᎹᏳᏟᏗ	[ama:yűhldi]  (single noun) /ced/
bank	ᎠᏕᎳᏗᏗᎢ	[aděldiyhdi̋:ʔi]  (single noun) /ced/
bank	ᎠᏕᎳᏧᏂᏗᎢ	[adělju:niyhdi̋:i]  (single noun) /ced/
Baptist	ᏗᏓᏬᏍᎩ	[Di:da:wő:sgi]  (single noun) /ced/
Baptist	ᏗᎾᏓᏬᏍᎩ	[Di:nada:wő:sgi]  (plural noun) /ced/
baptizing him	ᎦᏬᎠ	[gawó:ʔa]  (he is) (3rd/present continuous) /ced/
baptizing him	ᏥᏯᏬᎠ	[ji:yawó:ʔa]  (he is) (1st/present continuous) /ced/
baptizing him	ᎤᏬᎥᎢ	[ù:wó:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
baptizing him	ᎦᏬᏍᎪᎢ	[gawó:sgó:ʔi]  (he is) (3rd/habitual) /ced/
baptizing him	ᎯᏯᏬᏣ	[hi:yawǒ:ja]  (he is) (2nd/immediate) /ced/
baptizing him	ᎤᏬᏍᏗ	[u:wò:sdi]  (he is) (3rd/deverbal) /ced/
barbed	ᏧᏣᏲᏍᏗ	[ju:jayő:sdi] (adj/adv) /ced/
barber	ᏗᏓᏍᏙᏰᏍᎩ	[di:da:sdo:ye̋:sgi]  (single noun) /ced/
barber	ᏗᎾᏓᏍᏙᏰᏍᎩ	[di:nada:sdo:ye̋:sgi]  (plural noun) /ced/
barely	ᎤᏎᎦᏨᎢ	[u:se:gà:jv̋:ʔi] (adj/adv) /ced/
barely	ᏎᎦᏨᎢ	[se:gà:jv̋:ʔi] (adj/adv) /ced/
barking	ᏂᎦᏪᎠ	[nigaweʔa]  (it is) (3rd/present continuous) /ced/
barking	ᏂᏥᏪᎠ	[nijiweʔa]  (it is) (1st/present continuous) /ced/
barking	ᏄᏪᏒᎢ	[nù:wè:sv̌:ʔi]  (it is) (3rd/remote past) /ced/
barking	ᏂᎦᏪᏍᎪᎢ	[nigawè:sgó:ʔi]  (it is) (3rd/habitual) /ced/
barking	ᏂᏫ	[hníwi]  (it is) (2nd/immediate) /ced/
barking	ᎢᏳᏪᏍᏗ	[iyú:wè:sdi]  (it is) (3rd/deverbal) /ced/
barking	ᏓᏑᏫᏍᎦ	[dà:suhwísga]  (it is) (3rd/present continuous) /ced/
barking	ᏕᎦᏑᏫᏍᎦ	[de:gâ:suhwísga]  (it is) (1st/present continuous) /ced/
barking	ᏚᏑᏫᏒᎢ	[du:suhwisv̌:ʔi]  (it is) (3rd/remote past) /ced/
barking	ᏓᏑᏫᏍᎪᎢ	[dà:suhwisgó:ʔi]  (it is) (3rd/habitual) /ced/
barking	ᏔᏑᏩ	[tasúhwa]  (it is) (2nd/immediate) /ced/
barking	ᏧᏑᏫᏍᏗ	[ju:suhwisdi]  (it is) (3rd/deverbal) /ced/
barrel	ᏒᏙᏂ	[sv:do:ni]  (single noun) /ced/
Bartlesville	ᎫᎫᎢ	[Gù:gű:ʔi]  (single noun) /ced/
bashful	ᎤᏕᎰᏌᏘ	[u:dehǒ:sati] (adj/adv) /ced/
bashful	ᎤᎾᏕᎰᏌᏘ	[u:nade:hǒ:sati]  (plural adj/adv) /ced/
basket	ᏔᎷᏣ	[talǔ:ja]  (single noun) /ced/
basket	ᏗᏔᎷᏣ	[di:talǔ:ja]  (plural noun) /ced/
bat	ᎪᏍᏛᏂᏍᏗ	[go:sdv́:nì:sdi]  (single noun) /ced/
bat	ᏗᎪᏍᏛᏂᏍᏗ	[digo:sdv́:nì:sdi]  (plural noun) /ced/
bat	ᏜᎺᎭ	[dla:me:ha]  (single noun) /ced/
bathing	ᎠᏓᏬᎠ	[à:dawó:ʔa]  (he is) (3rd/present continuous) /ced/
bathing	ᎦᏓᏬᎠ	[gadawó:ʔa]  (he is) (1st/present continuous) /ced/
bathing	ᎤᏓᏬᎥᎢ	[ù:dawó:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
bathing	ᎠᏓᏬᏍᎪᎢ	[à:dawó:sgó:ʔi]  (he is) (3rd/habitual) /ced/
bathing	ᎭᏓᏬᏣ	[hadawǒ:ja]  (he is) (2nd/immediate) /ced/
bathing	ᎤᏓᏬᏍᏗ	[u:dawò:sdi]  (he is) (3rd/deverbal) /ced/
bathing him	ᎦᏬᎠ	[gawó:ʔa]  (he is) (3rd/present continuous) /ced/
bathing him	ᏥᏯᏬᎠ	[ji:yawó:ʔa]  (he is) (1st/present continuous) /ced/
bathing him	ᎤᏬᎥᎢ	[ù:wó:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
bathing him	ᎦᏬᏍᎪᎢ	[gawó:sgó:ʔi]  (he is) (3rd/habitual) /ced/
bathing him	ᎯᏯᏬᏣ	[hi:yawǒ:ja]  (he is) (2nd/immediate) /ced/
bathing him	ᎤᏬᏍᏗ	[u:wò:sdi]  (he is) (3rd/deverbal) /ced/
battery	ᎠᎾᎦᎵᏍᎩ	[anà:ga:lǐ:sgi]  (single noun) /ced/
battery	ᏗᎾᎦᎵᏍᎩ	[di:nà:galǐ:sgi]  (1st/present continuous) /ced/
batting it	ᎪᏍᏛᏂᎭ	[go:sdv́:ni:ha]  (he is) (3rd/present continuous) /ced/
batting it	ᎪᏍᏛᏂᎭ	[gò:sdv́:niha]  (he is) (1st/present continuous) /ced/
batting it	ᎤᏬᏍᏛᏂᎸᎢ	[ù:wo:sdv̌:nî:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
batting it	ᎪᏍᏛᏂᎰᎢ	[go:sdv́:nihó:ʔi]  (he is) (3rd/habitual) /ced/
batting it	ᎰᏍᏛᏂᎦ	[ho:sdv:nì:ga]  (he is) (2nd/immediate) /ced/
batting it	ᎤᏬᏍᏛᏂᏍᏗ	[uwo:sdv̌:nî:sdi]  (he is) (3rd/deverbal) /ced/
beans	ᏚᏯ	[tǔ:ya]  (single noun) /ced/
bear	ᏲᎾ	[yǒ:na]  (single noun) /ced/
beating him at a game	ᎠᏠᏍᎦ	[à:hlo:sga]  (he is) (3rd/present continuous) /ced/
beating him at a game	ᏥᏠᏍᎦ	[jì:hlo:sga]  (he is) (1st/present continuous) /ced/
beating him at a game	ᎤᏠᏒᎢ	[ù:hlo:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
beating him at a game	ᎠᏠᏍᎪᎢ	[à:hlo:sgó:ʔi]  (he is) (3rd/habitual) /ced/
beating him at a game	ᎯᏠᎯ	[hì:hlǒ:hi]  (he is) (2nd/immediate) /ced/
beating him at a game	ᎤᏠᎯᏍᏗ	[u:hlo:hisdi]  (he is) (3rd/deverbal) /ced/
beating him up	ᎦᎸᏂᎭ	[galv́:hniha]  (he is) (3rd/present continuous) /ced/
beating him up	ᏥᎸᏂᎭ	[ji:lv́:hniha]  (he is) (1st/present continuous) /ced/
beating him up	ᎤᎸᏂᎸᎢ	[ù:lv́:hnilv̌:ʔi]  (he is) (3rd/remote past) /ced/
beating him up	ᎦᎸᏂᎰᎢ	[galv́:hnihó:ʔi]  (he is) (3rd/habitual) /ced/
beating him up	ᎯᎸᏂᎦ	[hi:lv̀nhga]  (he is) (2nd/immediate) /ced/
beating him up	ᎤᎸᏂᏍᏗ	[u:lv̀nsdi]  (he is) (3rd/deverbal) /ced/
becoming	ᏂᎦᎵᏍᏗᎭ	[nigalsdi:ha]  (he is) (3rd/present continuous) /ced/
becoming	ᏂᎦᎵᏍᏗᎭ	[nigà:lisdi:ha]  (he is) (1st/present continuous) /ced/
becoming	ᏄᎵᏍᏔᏅᎢ	[nù:lsta:nv̌:ʔi]  (he is) (3rd/remote past) /ced/
becoming	ᏂᎦᎵᏍᏗᏍᎪᎢ	[nigalsdi:sgóʔi]  (he is) (3rd/habitual) /ced/
becoming	ᎿᎵᏍᏓ	[hnalsdá]  (he is) (2nd/immediate) /ced/
becoming	ᎢᏳᎵᏍᏙᏗ	[iyu:lsdohdi]  (he is) (3rd/deverbal) /ced/
becoming angry	ᎤᎿᎸᎦ	[ù:hnǎ:lv̂:ga]  (he is) (3rd/present continuous) /ced/
becoming angry	ᎠᎩᎾᎸᎦ	[à:kinǎ:lv̂:ga]  (he is) (1st/present continuous) /ced/
becoming angry	ᎤᎿᎸᏨᎢ	[ù:hnǎ:lv̂:jv̌:ʔi]  (he is) (3rd/remote past) /ced/
becoming angry	ᎤᎿᎸᎪᎢ	[ù:hnǎ:lv̂:gó:ʔi]  (he is) (3rd/habitual) /ced/
becoming angry	ᏣᎾᎸᎩ	[chana:lv̀:gi]  (he is) (2nd/immediate) /ced/
becoming angry	ᎤᎿᎸᎢᏍᏗ	[u:hnǎ:lv́ʔisdi]  (he is) (3rd/deverbal) /ced/
becoming blind	ᏓᎨᏩᎦ	[dà:kě:wâ:ga]  (he is) (3rd/present continuous) /ced/
becoming blind	ᏕᏥᎨᏩᎦ	[de:jíʔgě:wâ:ga]  (he is) (1st/present continuous) /ced/
becoming blind	ᏚᎨᏩᏨᎢ	[dù:kě:wâ:jv̌:ʔi]  (he is) (3rd/remote past) /ced/
becoming blind	ᏓᎨᏩᎪᎢ	[dà:kě:wâ:gó:ʔi]  (he is) (3rd/habitual) /ced/
becoming blind	ᏘᎨᏩᎩ	[tiké:wà:gi]  (he is) (2nd/immediate) /ced/
becoming blind	ᏧᎨᏩᎢᏍᏗ	[ju:kě:wá:ʔisdi]  (he is) (3rd/deverbal) /ced/
becoming crisp	ᎠᏍᏓᎦᏴᎯᎭ	[à:sdagayv:híha]  (it is) (3rd/present continuous) /ced/
becoming crisp	ᎤᏍᏓᎦᏴᏢᎢ	[ù:sdagayv:hlv̌:ʔi]  (it is) (3rd/remote past) /ced/
becoming crisp	ᎠᏍᏓᎦᏴᎯᎰᎢ	[à:sdagayv:hihó:ʔi]  (it is) (3rd/habitual) /ced/
becoming done	ᎬᏂᏍᎦ	[gvnsga]  (it is) (by cooking) (3rd/present continuous) /ced/
becoming done	ᎤᏩᏂᏒᎢ	[ù:wansv̌:ʔi]  (it is) (by cooking) (3rd/remote past) /ced/
becoming done	ᎬᏂᏍᎪᎢ	[gvnsgó:ʔi]  (it is) (by cooking) (3rd/habitual) /ced/
becoming done	ᎲᏂ	[hv̌:hni]  (it is) (by cooking) (2nd/immediate) /ced/
becoming done	ᎤᏩᏂᏍᏗ	[uwa:hnísdi]  (it is) (by cooking) (3rd/deverbal) /ced/
becoming enraged	ᎤᏔᏝᏬᏍᎦ	[ù:tahlawo:sga]  (he is) (3rd/present continuous) /ced/
becoming enraged	ᎠᎩᏔᏝᏬᏍᎦ	[àktahlawo:sga]  (he is) (1st/present continuous) /ced/
becoming enraged	ᎤᏔᏝᏬᏒᎢ	[ù:tahlawo:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
becoming enraged	ᎤᏔᏝᏬᏍᎪᎢ	[ù:tahlawo:sgó:ʔi]  (he is) (3rd/habitual) /ced/
becoming enraged	ᏣᏔᏝᏬᎯ	[tstahlawǒ:hi]  (he is) (2nd/immediate) /ced/
becoming enraged	ᎤᏔᏝᏬᎯᏍᏗ	[u:tahlawo:hisdi]  (he is) (3rd/deverbal) /ced/
becoming frosty	ᎠᏯᏛᎲᏍᎦ	[à:hyahtv̌:hv́sga] (it is) (the ground) (3rd/present continuous) /ced/
becoming frosty	ᎤᏯᏛᏅᎢ	[ù:hyahtv̌:hnv́:ʔi] (it is) (the ground) (3rd/remote past) /ced/
becoming frosty	ᎠᏯᏛᎲᏍᎪᎢ	[à:hyahtv̌:hv́sgó:ʔi] (it is) (the ground) (3rd/habitual) /ced/
becoming frosty	ᎤᏯᏛᏘᏗ	[u:hyahtv́:tdi] (it is) (the ground) (3rd/deverbal) /ced/
becoming spoiled	ᎠᏲᎦ	[à:yó:ga]  (he is) (3rd/present continuous) /ced/
becoming spoiled	ᏥᏲᎦ	[jiyó:ga]  (he is) (1st/present continuous) /ced/
becoming spoiled	ᎤᏲᏨᎢ	[ù:yó:jv̌:ʔi]  (he is) (3rd/remote past) /ced/
becoming spoiled	ᎠᏲᎪᎢ	[à:yó:gó:ʔi]  (he is) (3rd/habitual) /ced/
becoming spoiled	ᎯᏲᎩ	[hiyò:gi]  (he is) (2nd/immediate) /ced/
becoming spoiled	ᎤᏲᏍᏗ	[u:yò:sdi]  (he is) (3rd/deverbal) /ced/
becoming warm	ᎤᎦᎾᏬᏍᎦ	[Ù:ga:nawo:sga]  (he is) (3rd/present continuous) /ced/
becoming warm	ᎠᎩᎦᎾᏬᏍᎦ	[à:giga:nawo:sga]  (he is) (1st/present continuous) /ced/
becoming warm	ᎤᎦᎾᏬᏒᎢ	[ù:ga:nawo:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
becoming warm	ᎤᎦᎾᏬᏍᎪᎢ	[ù:ga:nawo:sgó:ʔi]  (he is) (3rd/habitual) /ced/
becoming warm	ᏣᎦᎾᏬᎯ	[jaga:nawǒ:hi]  (he is) (2nd/immediate) /ced/
becoming warm	ᎤᎦᎾᏬᎯᏍᏗ	[u:ga:nawo:hisdi]  (he is) (3rd/deverbal) /ced/
becoming wise	ᎠᎦᏙᎲᏍᎦ	[à:ktô:hvsga]  (he is) (3rd/present continuous) /ced/
becoming wise	ᏥᎦᏙᎲᏍᎦ	[jigà:tô:hvsga]  (he is) (1st/present continuous) /ced/
becoming wise	ᎤᎦᏙᎲᏒᎢ	[ù:ktô:hvsv̌:ʔi]  (he is) (3rd/remote past) /ced/
becoming wise	ᎠᎦᏙᎲᏍᎪᎢ	[à:ktô:hvsgó:ʔi]  (he is) (3rd/habitual) /ced/
becoming wise	ᎯᎦᏙᎥᎯ	[hiktoʔvhi]  (he is) (2nd/immediate) /ced/
